"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 17 00:36:34 IST 2022","Thu Feb 17 00:36:44 IST 2022","10477","","Login Functionality","","","","Login to SR QA Website",""
"passed","Thu Feb 17 00:23:23 IST 2022","Thu Feb 17 00:25:24 IST 2022","120810","","Initiator Actions","","","","Create New Requisition functionality",""
"passed","Thu Feb 17 00:29:35 IST 2022","Thu Feb 17 00:30:28 IST 2022","52913","","Initiator Actions","","","","Drop Vacancy of a Requisition functionality",""
"passed","Thu Feb 17 00:13:22 IST 2022","Thu Feb 17 00:19:21 IST 2022","358937","","Approver ReferBack Functionality","","","","Approve New Requisition functionality",""
"passed","Thu Feb 17 00:30:28 IST 2022","Thu Feb 17 00:32:05 IST 2022","96660","","Initiator Actions","","","","Edit Update Requisition functionality",""
"passed","Thu Feb 17 00:23:12 IST 2022","Thu Feb 17 00:23:23 IST 2022","11142","","Initiator Actions","","","","Login to SR QA Website",""
"passed","Thu Feb 17 00:25:24 IST 2022","Thu Feb 17 00:29:35 IST 2022","250909","","Initiator Actions","","","","Close Requisition functionality",""
